model,year,price,transmission,mileage,fuelType,mpg,engineSize
3 Series,2016,15498,Semi-Auto,13377,Petrol,51.4,2
3 Series,2016,16895,Automatic,46003,Diesel,51.4,3
X3,2017,22000,Automatic,27385,Diesel,54.3,2
4 Series,2014,12990,Semi-Auto,52135,Diesel,61.4,2
3 Series,2019,26950,Semi-Auto,4320,Petrol,42.2,2
1 Series,2016,11491,Manual,36200,Diesel,83.1,1.5
4 Series,2019,25490,Semi-Auto,6782,Petrol,48.7,2
X5,2019,44888,Automatic,12082,Diesel,37.7,3
X2,2019,26972,Automatic,123,Petrol,38.7,2
3 Series,2016,15495,Automatic,32000,Other,148.7,2
X4,2015,20250,Automatic,54116,Diesel,47.9,3
3 Series,2016,24495,Automatic,45853,Diesel,49.6,3
3 Series,2018,15700,Automatic,29394,Petrol,48.7,2
1 Series,2013,11450,Manual,66621,Petrol,42.8,2
2 Series,2020,29995,Semi-Auto,1501,Petrol,47.9,2
2 Series,2017,17998,Semi-Auto,27997,Diesel,57.6,2
X1,2018,22500,Automatic,19063,Petrol,44.8,2
2 Series,2016,15495,Automatic,34391,Diesel,68.9,1.5
2 Series,2015,15995,Manual,19361,Diesel,64.2,2
3 Series,2016,21995,Semi-Auto,37625,Diesel,49.6,3
X1,2016,16400,Automatic,47406,Diesel,57.6,2
3 Series,2019,26750,Semi-Auto,4327,Diesel,53.3,3
2 Series,2019,19870,Manual,123,Petrol,42.8,1.5
4 Series,2014,17750,Semi-Auto,39801,Diesel,50.4,3
4 Series,2016,15750,Automatic,37484,Diesel,65.7,2
1 Series,2015,9985,Manual,43834,Diesel,72.4,1.5
1 Series,2016,12980,Manual,27696,Diesel,65.7,2
X3,2014,14000,Automatic,60590,Diesel,50.4,2
3 Series,2010,5290,Manual,80000,Petrol,44.8,2
Z4,2019,32995,Automatic,11,Petrol,38.7,2
X2,2019,32000,Automatic,2631,Petrol,34,2
1 Series,2016,13498,Semi-Auto,42001,Diesel,68.9,1.5
X7,2019,66000,Semi-Auto,2881,Diesel,33.6,3
3 Series,2019,22980,Semi-Auto,11571,Diesel,54.3,2
3 Series,2014,12890,Semi-Auto,52106,Diesel,62.8,2
7 Series,2019,48782,Semi-Auto,101,Diesel,41.5,3
3 Series,2016,14000,Automatic,91707,Diesel,53.3,3
3 Series,2016,13799,Automatic,47262,Diesel,62.8,2
4 Series,2019,24622,Semi-Auto,2043,Diesel,65.7,2
1 Series,2019,18950,Manual,6675,Diesel,70.6,1.5
3 Series,2016,12990,Manual,53000,Diesel,64.2,2
M3,2005,10999,Manual,115000,Petrol,20.8,3.2
2 Series,2019,21980,Semi-Auto,8000,Diesel,65.7,2
X1,2019,24474,Semi-Auto,9044,Petrol,40.9,1.5
2 Series,2016,11976,Manual,26089,Petrol,55.4,1.5
3 Series,2014,5990,Manual,138750,Diesel,65.7,2
X3,2019,40980,Semi-Auto,3082,Diesel,36.7,3
4 Series,2016,15499,Manual,55802,Diesel,62.8,2
5 Series,2017,21498,Semi-Auto,34296,Diesel,65.7,2
5 Series,2017,22312,Automatic,16403,Diesel,65.7,2
3 Series,2016,16999,Automatic,23157,Hybrid,134.5,2
4 Series,2018,26875,Semi-Auto,6488,Diesel,51.4,3
4 Series,2019,24990,Semi-Auto,1000,Petrol,48.7,2
1 Series,2017,11250,Manual,30846,Petrol,53.3,1.5
3 Series,2018,26750,Automatic,8482,Petrol,41.5,3
4 Series,2019,33490,Semi-Auto,10,Diesel,51.4,3
1 Series,2016,15498,Manual,20233,Diesel,62.8,2
2 Series,2016,10500,Automatic,115470,Hybrid,141.2,1.5
2 Series,2016,18498,Semi-Auto,18245,Diesel,55.4,2
X1,2018,19300,Manual,15209,Diesel,52.3,2
5 Series,2017,16700,Automatic,36164,Diesel,60.1,2
5 Series,2019,25101,Semi-Auto,24143,Diesel,65.7,2
2 Series,2018,25295,Semi-Auto,9500,Petrol,39.8,3
X5,2017,57990,Automatic,10,Diesel,42.8,3
M4,2015,27590,Manual,27489,Petrol,31,3
5 Series,2016,10117,Manual,94419,Diesel,65.7,2
Z4,2019,35995,Semi-Auto,1501,Petrol,37.2,2
4 Series,2018,18300,Automatic,37491,Petrol,45.6,2
1 Series,2016,14066,Manual,19023,Diesel,68.9,2
