age,work.class,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,salary
39,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
24,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,Below-50K
34,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,Below-50K
26,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,Above-50K
27,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,36,United-States,Below-50K
24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,25,United-States,Below-50K
30,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,Portugal,Below-50K
31,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1740,20,United-States,Below-50K
36,Private,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0,0,20,United-States,Below-50K
35,Private,11th,7,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,Below-50K
35,State-gov,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Female,0,0,40,United-States,Below-50K
42,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,Below-50K
43,Local-gov,HS-grad,9,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,United-States,Below-50K
66,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,13,United-States,Below-50K
50,Self-emp-not-inc,5th-6th,3,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,15,United-States,Below-50K
50,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,Below-50K
40,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
37,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
18,Local-gov,10th,6,Never-married,Protective-serv,Own-child,White,Female,0,0,6,United-States,Below-50K
28,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,Below-50K
24,Private,HS-grad,9,Divorced,Protective-serv,Own-child,White,Female,0,1762,40,United-States,Below-50K
51,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
59,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,Below-50K
56,Local-gov,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,0,1669,38,United-States,Below-50K
17,Private,10th,6,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,Below-50K
23,Private,Some-college,10,Divorced,Sales,Own-child,Black,Female,0,0,40,United-States,Below-50K
29,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,Above-50K
46,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,Below-50K
34,Private,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,Below-50K
45,Private,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,Below-50K
32,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,Below-50K
49,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,Below-50K
35,State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,38,United-States,Below-50K
66,Private,Some-college,10,Widowed,Sales,Unmarried,White,Female,0,0,50,United-States,Above-50K
48,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,55,United-States,Below-50K
37,Private,Assoc-voc,11,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,Below-50K
19,Private,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,Below-50K
52,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,Below-50K
42,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,Below-50K
18,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,Below-50K
71,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
42,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,25,United-States,Below-50K
63,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,21,United-States,Below-50K
40,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,Below-50K
18,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,Below-50K
25,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,Below-50K
23,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,24,Greece,Below-50K
26,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,Below-50K
35,State-gov,Assoc-acdm,12,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,Below-50K
40,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Dominican-Republic,Below-50K
47,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,40,United-States,Below-50K
28,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,Below-50K
36,Local-gov,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,Honduras,Below-50K
23,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Mexico,Below-50K
40,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,Below-50K
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,50,United-States,Below-50K
42,Private,Some-college,10,Separated,Adm-clerical,Own-child,White,Female,0,0,40,United-States,Below-50K
74,Private,Prof-school,15,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,20,United-States,Below-50K
44,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,Below-50K
64,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,Below-50K
34,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,Above-50K
27,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,56,United-States,Below-50K
70,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,2653,0,40,United-States,Below-50K
28,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,Below-50K
38,Private,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,Italy,Above-50K
38,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,Below-50K
24,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,65,United-States,Below-50K
48,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,30,United-States,Below-50K
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,Below-50K
44,Private,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0,0,25,United-States,Below-50K
43,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,32,United-States,Above-50K
49,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,Below-50K
31,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,Below-50K
42,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,20,United-States,Below-50K
55,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,60,United-States,Below-50K
27,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,Below-50K
46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,35,United-States,Above-50K
49,Private,Some-college,10,Widowed,Sales,Unmarried,White,Female,0,0,30,United-States,Below-50K
